val_mse,mse,val_mae,mae
0.402687,0.414366,0.295241,0.298937
0.402933,0.414288,0.295469,0.298866
0.40286,0.414239,0.295317,0.298794
0.402848,0.414238,0.295303,0.298795
0.402949,0.414238,0.295423,0.29879
0.40297,0.414223,0.295423,0.298765
0.402952,0.414114,0.295388,0.298689
0.403123,0.41409,0.295506,0.298659
0.402956,0.41396,0.29543,0.29853
0.403464,0.413946,0.295909,0.298533
0.403345,0.413939,0.295777,0.298524
0.403199,0.413928,0.295708,0.298512
0.403011,0.413849,0.295624,0.298494
0.40279,0.413801,0.295424,0.298466
0.402947,0.413767,0.295588,0.2984
0.402859,0.413715,0.295453,0.298358
0.402899,0.413701,0.295511,0.298356
0.402933,0.413631,0.295632,0.298287
0.402949,0.413631,0.295648,0.298285
0.402944,0.413614,0.295652,0.298259
0.40302,0.413598,0.295673,0.298255
0.403143,0.413564,0.295785,0.298197
0.403115,0.413561,0.295718,0.298213
0.403029,0.413511,0.295558,0.298187
0.403135,0.413436,0.295597,0.298075
0.403056,0.413388,0.295513,0.298061
0.402934,0.413334,0.295436,0.297979
0.403084,0.413264,0.29553,0.297936
0.403104,0.413244,0.295545,0.297913
0.403165,0.413218,0.295628,0.297866
0.403121,0.41315,0.295691,0.297811
0.402979,0.413046,0.29558,0.297712
0.403126,0.413033,0.295657,0.297662
0.403029,0.413016,0.295579,0.297688
0.403042,0.412975,0.295581,0.297632
0.403088,0.412966,0.295677,0.297622
0.402993,0.412945,0.295565,0.297598
0.402993,0.41291,0.295527,0.297554
0.402731,0.412717,0.295265,0.297421
0.402606,0.412695,0.295113,0.297432
0.402705,0.412638,0.295268,0.297388
0.402515,0.412555,0.295044,0.297307
0.40218,0.412473,0.294852,0.297278
0.402133,0.412467,0.294806,0.297269
0.40213,0.412395,0.29481,0.297194
0.402241,0.412387,0.294904,0.297147
0.402291,0.412387,0.294955,0.297142
0.402268,0.412381,0.294925,0.297157
0.402391,0.412356,0.295033,0.297175
0.402414,0.412355,0.295058,0.297172
0.402331,0.412305,0.294979,0.29713
0.402228,0.412267,0.294877,0.297158
0.402093,0.412209,0.294716,0.297076
0.402331,0.41221,0.294938,0.297065
0.402249,0.412214,0.294883,0.297095
0.402178,0.412212,0.294833,0.297103
0.402253,0.41215,0.294927,0.297058
0.401409,0.412144,0.294076,0.297069
0.401407,0.412125,0.294129,0.297051
0.401398,0.412103,0.294201,0.297056
0.401411,0.412109,0.294199,0.297023
0.401408,0.412107,0.294172,0.297024
0.401703,0.41196,0.294513,0.296799
