Valeur fonciere,Code departement,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Code commune,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
568000.0,59,0.0,1.0,172.0,7.0,163.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85000.0,33,1.0,2.0,41.0,2.0,104.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116000.0,60,0.0,1.0,77.0,4.0,531.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280000.0,60,0.0,1.0,80.0,4.0,172.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212000.0,72,0.0,1.0,86.0,4.0,181.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350000.0,6,1.0,2.0,64.0,3.0,29.0,0.0,76.0,66.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55000.0,47,1.0,2.0,37.0,2.0,1.0,0.0,11.0,36.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105000.0,72,0.0,1.0,50.0,3.0,223.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282650.0,38,0.0,1.0,103.0,6.0,507.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44888.0,35,0.0,1.0,44.0,3.0,350.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645000.0,45,0.0,2.0,27.0,1.0,234.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430000.0,13,0.0,1.0,81.0,5.0,85.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
